,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
113,CS,E-cad,40X E-cad CS - 04.tif,zone 1,NA,NA,0.324859136822773,0.89475477075084,0.182823141048296,0.851823222630344,5.85775381422075,0.155769447201466,0.259653296795361,0.951760151185647
114,CS,E-cad,40X E-cad CS - 04.tif,zone 2,NA,NA,0.328680093867973,0.886187992654002,0.198369123631156,0.850581185593307,5.80061576367187,0.14968595665418,0.26718201078386,0.942673263323989
115,CS,E-cad,40X E-cad CS - 04.tif,zone 3,NA,NA,0.30690845832058,0.886061520258799,0.206537268074463,0.860698668503214,5.73960151821521,0.148818216509662,0.267466549905492,0.943030337911578
116,CS,E-cad,40X E-cad CS - 04.tif,zone 4,NA,NA,0.319020079583716,0.859586543728526,0.19739797881204,0.853776338298813,5.70011402782121,0.131639894566126,0.283484264117593,0.932107139112344
117,CS,E-cad,40X E-cad CS - 05.tif,zone 1,NA,NA,0.309278104275074,0.871727014421564,0.204281038307264,0.85805525456586,5.76308491125088,0.133845081532013,0.254380993459007,0.947875441815977
118,CS,E-cad,40X E-cad CS - 05.tif,zone 2,NA,NA,0.334056310580553,0.887347100786445,0.20282504693927,0.852011538278407,5.71774292870609,0.15102418086371,0.235904872750253,0.956140385195955
119,CS,E-cad,40X E-cad CS - 05.tif,zone 3,NA,NA,0.319370809101112,0.884831883357693,0.194544505641446,0.857347880488386,5.79669616353613,0.145379792154723,0.247812270287574,0.957936096361864
120,CS,E-cad,40X E-cad CS - 05.tif,zone 4,NA,NA,0.288189378634833,0.888384592658479,0.218867229634464,0.868575641941299,5.6694124785578,0.13706862824411,0.226399402787468,0.959148847273133
121,CS,F-actin,40X F-actin CS - 01.tif,zone 1,0.218210940978527,7.32,0.290326181001939,0.894017523040246,0.163287774980379,0.863937711287964,5.40099727339993,0.143239746310684,0.31082526138052,0.941638712629185
122,CS,F-actin,40X F-actin CS - 01.tif,zone 2,0.211654360046353,8.52,0.295994490358127,0.892315935697476,0.165914959723693,0.861619210284665,5.27744285867103,0.145673767070833,0.305918408329667,0.948438378614807
123,CS,F-actin,40X F-actin CS - 01.tif,zone 3,0.222972816738742,7.28,0.267845954494439,0.898849042016638,0.192711132343002,0.876304356698296,5.32621904347064,0.140419975557093,0.259035282662189,0.967426480528333
124,CS,F-actin,40X F-actin CS - 01.tif,zone 4,0.238554220777055,7.48,0.270173778185899,0.89341015386709,0.185833843954989,0.875083845185865,5.39829780797724,0.137242884247258,0.265846607280682,0.952002592650628
125,CS,F-actin,40X F-actin CS - 02.tif,zone 1,0.209698299304391,8.56,0.305657432915009,0.885624054568692,0.156468721995706,0.856545777641737,5.19588196056436,0.144075732330271,0.327671253028726,0.932086975096486
