"","antibodyName","doseLevel","treatmentTime","imagingType","imageFileName","zone","CV","Iso","ContrastN","CorrelationN","EnergyN","HomogeneityN","EntropyN","StdN","MeanN","RangeN"
"4395","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-14-Image Export-180.tif","zone 3",0.169225178727834,9.04545454545454,0.326341143297066,0.855646425210079,0.211855587628505,0.860261148754147,5.38897678301747,0.131132279454231,0.24792127007578,0.959483307980546
"4396","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-14-Image Export-180.tif","zone 4",0.15693644803263,6.48,0.293471013161922,0.886088605574801,0.25357464331949,0.875066895384825,5.26955292435269,0.139824696582732,0.227361252636606,0.965875226383991
"4397","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-15-Image Export-181.tif","zone 1",0.160632951643251,8.5,0.340665852742299,0.854413481175633,0.237661378247569,0.860550175770561,5.18063326460255,0.138130124907425,0.191424333882963,0.995765449704162
"4398","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-15-Image Export-181.tif","zone 2",0.175709252824968,7.47826086956522,0.310939045705185,0.866055700152022,0.257823441017539,0.869818961278722,5.23253446982855,0.138262940967328,0.181033910597785,0.994949177898601
"4399","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-15-Image Export-181.tif","zone 3",0.184694576587178,6.83333333333333,0.305121171734177,0.871705456737425,0.258484948425259,0.872099020153839,5.2408442827878,0.140524023807388,0.198488164280975,0.99069279604335
"4400","HLA","10ug","24h","F-actin","63X-F-actin-HLA-10-24h-15-Image Export-181.tif","zone 4",0.159520103289316,6.25,0.332010094633201,0.857937247439911,0.238964833741731,0.864550633297056,5.49822602843869,0.139622495333333,0.200597934347004,0.988536507395113
"4401","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-01-Image Export-47.tif","zone 1",0.139638357419626,6.96,0.277954871951842,0.854693810404831,0.286110694187742,0.880044900374597,4.63600069060173,0.119456252993747,0.184913896465735,0.964955812091036
"4402","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-01-Image Export-47.tif","zone 2",0.180141673735595,7.8,0.273461544740333,0.840229197258064,0.300254513524848,0.879628146812036,4.49922337092201,0.115724053020408,0.198476316541936,0.95922974604802
"4403","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-01-Image Export-47.tif","zone 3",0.148227614160144,7.72,0.307116886032038,0.866808715295126,0.243277484734769,0.866544117436996,4.8466789394785,0.136125066694731,0.229826201173324,0.961247808201877
"4404","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-01-Image Export-47.tif","zone 4",0.118572094727528,7.04,0.29392621161106,0.879060679601245,0.270895339395762,0.873823588579397,4.94587702233713,0.135088886144708,0.215871304520001,0.961432881987937
"4405","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-02-Image Export-48.tif","zone 1",0.167885597828703,7.08333333333333,0.355079775022957,0.901247330573481,0.259950945184011,0.864707962384993,5.16270344456781,0.173373864194688,0.214944122320803,0.994019791179679
"4406","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-02-Image Export-48.tif","zone 2",0.196219393406214,10.6666666666667,0.339163860830528,0.869229391159504,0.274057067335873,0.864574612745015,4.9865330045394,0.148168866074743,0.20246420307025,0.988833436159586
"4407","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-02-Image Export-48.tif","zone 3",0.195462963171315,10.12,0.390515692276298,0.877158607251925,0.228225082646226,0.847111707503122,5.23222485132738,0.163619043524731,0.243800619997237,0.985172043010753
"4408","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-02-Image Export-48.tif","zone 4",0.137688016963093,7.04347826086956,0.32949206602698,0.882549046547922,0.277076662780309,0.867202339627954,5.12633423155841,0.15215802965308,0.220770689786683,0.984838067999523
"4409","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-03-Image Export-49.tif","zone 1",0.16508888943752,7.56,0.353886817671666,0.894549043000453,0.243379885883838,0.856772953245782,5.2337658603308,0.171304844457314,0.255740294930866,0.973842605578931
"4410","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-03-Image Export-49.tif","zone 2",0.157154210311418,7.48,0.336325425976941,0.914333474745664,0.287220022396934,0.869149703990361,5.11123368537879,0.179688096502043,0.238537117924804,0.980086344894494
"4411","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-03-Image Export-49.tif","zone 3",0.153969676645974,9.52,0.370065442301806,0.872606699250439,0.227755103697558,0.85102332779454,5.2235801888775,0.152720990387501,0.251526476961097,0.975589957611168
"4412","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-03-Image Export-49.tif","zone 4",0.166779374145358,9,0.353382277318641,0.875628910921161,0.22534468542639,0.856339077815189,5.13535015263747,0.169469914633441,0.248742663198866,0.972957054812484
"4413","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-04-Image Export-50.tif","zone 1",0.162322203101504,5.76,0.26190099989797,0.90739583874605,0.360399306784248,0.89440793118778,4.94858203345882,0.160353777306695,0.1804755795582,0.996645161290323
"4414","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-04-Image Export-50.tif","zone 2",0.147605578217901,7,0.33081213984376,0.892099056769715,0.277060745439223,0.871539123141616,5.09241526503755,0.16281192237645,0.20215452517934,0.994950911640954
"4415","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-04-Image Export-50.tif","zone 3",0.184546054461098,5.625,0.263406242560283,0.902949762574499,0.360086625914963,0.89322353715425,4.90009859026961,0.147883734727875,0.16903217125164,0.996479947689625
"4416","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-04-Image Export-50.tif","zone 4",0.18456023544998,6.1304347826087,0.269835487062101,0.900456032360678,0.329843125548802,0.890029738535997,4.9421693687493,0.15267790462218,0.175526953884434,0.992706872370266
"4417","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-05-Image Export-51.tif","zone 1",0.164942369937862,13.12,0.423634241403938,0.802076693482207,0.240542966176957,0.836030529805025,4.85923600129333,0.143529690957477,0.274772771847575,0.961264516129032
"4418","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-05-Image Export-51.tif","zone 2",0.193477097766998,12.64,0.487375869809203,0.868601860740496,0.176591593123045,0.816724183173729,5.4085540874367,0.174575232170464,0.346613696306685,0.937290322580645
"4419","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-05-Image Export-51.tif","zone 3",0.180342689617509,8,0.419880828486889,0.89829610721107,0.230758973605881,0.846296474509404,5.35081905172686,0.191618508759815,0.273006193548387,0.978322580645161
"4420","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-05-Image Export-51.tif","zone 4",0.187604542153502,10.2,0.452803479236812,0.898032321659506,0.174979611837009,0.826416283469617,5.45577669920294,0.199000702791848,0.364040415770609,0.952516129032258
"4421","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-06-Image Export-52.tif","zone 1",0.187460196516715,9.68,0.32379091929395,0.851486992584913,0.235866042510155,0.86040300982407,4.72697421512139,0.131026009446025,0.202959617400928,0.984912732014109
"4422","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-06-Image Export-52.tif","zone 2",0.161605735988975,7.76,0.283113172125293,0.855848479765281,0.312293388268134,0.880186690425175,4.70068707556874,0.12639813648655,0.192916919033495,0.982329609657781
"4423","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-06-Image Export-52.tif","zone 3",0.169333746287274,9.96,0.326025701459035,0.84578149220664,0.255920422294961,0.8599424577667,4.87633701667458,0.128734064294503,0.232926115680879,0.96731964836708
"4424","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-06-Image Export-52.tif","zone 4",0.190676118382225,10.6,0.348292510968269,0.865809278020803,0.241516146973227,0.857152644409463,4.95578808375512,0.140282798714945,0.221191981466281,0.976768122737824
